epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7105.43,1.52873,1.11031,1.80258,0.87661,0.82462,0.89323,0.5229,1.47671,1.11042,1.87811,0.00145019,0.00145019,0.00145019
55,7223.04,1.51751,1.09265,1.78377,0.88935,0.82,0.88858,0.50742,1.56037,1.10911,1.85074,0.00143152,0.00143152,0.00143152
56,7340.3,1.50306,1.07901,1.76755,0.92594,0.79385,0.88419,0.49828,1.54651,1.07488,1.90025,0.00141267,0.00141267,0.00141267
57,7454.75,1.50733,1.08017,1.79922,0.88695,0.80769,0.87805,0.50319,1.57747,1.14982,1.79642,0.00139364,0.00139364,0.00139364
58,7568.28,1.50255,1.07559,1.7638,0.86449,0.83077,0.88213,0.496,1.55643,1.06045,1.88235,0.00137444,0.00137444,0.00137444
59,7682.85,1.48584,1.05486,1.75047,0.8767,0.83231,0.87897,0.49974,1.51072,1.05312,1.85889,0.00135509,0.00135509,0.00135509
60,7800.68,1.50393,1.07058,1.765,0.8868,0.80308,0.87679,0.4944,1.55146,1.11891,1.92039,0.00133558,0.00133558,0.00133558
61,7917.93,1.48947,1.04889,1.75475,0.87085,0.80308,0.87561,0.50303,1.52438,1.37359,1.94758,0.00131593,0.00131593,0.00131593
62,8033.65,1.50079,1.06442,1.76176,0.86174,0.80547,0.87676,0.48468,1.56662,1.73474,1.86188,0.00129614,0.00129614,0.00129614
63,8149.69,1.48383,1.05522,1.76392,0.87189,0.79573,0.87863,0.50986,1.53876,1.04418,1.84411,0.00127623,0.00127623,0.00127623
64,8263.25,1.47302,1.0265,1.74531,0.91032,0.78154,0.88557,0.51126,1.60813,1.37022,1.9133,0.0012562,0.0012562,0.0012562
65,8380.84,1.48403,1.05877,1.76081,0.89699,0.79231,0.88745,0.51801,1.45862,1.07163,1.87021,0.00123607,0.00123607,0.00123607
66,8497.35,1.47941,1.05474,1.74516,0.88569,0.80154,0.87564,0.51212,1.5148,1.23641,1.91335,0.00121583,0.00121583,0.00121583
67,8612.19,1.4705,1.03613,1.74442,0.87526,0.80769,0.88802,0.5198,1.49132,1.19104,1.85005,0.00119551,0.00119551,0.00119551
68,8723.77,1.48064,1.0494,1.74825,0.91786,0.8,0.89532,0.50809,1.50859,0.96851,1.80073,0.0011751,0.0011751,0.0011751
69,8839.87,1.47615,1.05225,1.75035,0.8606,0.83578,0.89004,0.51245,1.47387,1.07282,1.88067,0.00115462,0.00115462,0.00115462
70,8951.71,1.45153,1.02301,1.74209,0.89154,0.81538,0.88562,0.51874,1.52007,1.03137,1.85493,0.00113408,0.00113408,0.00113408
71,9065.82,1.46323,1.03812,1.74019,0.87531,0.82308,0.88795,0.51693,1.51676,1.03232,1.90394,0.00111348,0.00111348,0.00111348
72,9181.27,1.45523,1.0373,1.74309,0.89937,0.81692,0.88564,0.51292,1.53025,0.99627,1.87111,0.00109284,0.00109284,0.00109284
73,9294.76,1.45107,1.02531,1.73452,0.90591,0.81231,0.89145,0.50414,1.58775,1.11504,1.83527,0.00107216,0.00107216,0.00107216
74,9407.96,1.45557,1.02061,1.74209,0.91355,0.82769,0.89405,0.5215,1.55107,1.05552,1.83811,0.00105146,0.00105146,0.00105146
