epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,6786.45,1.47862,1.04473,1.77116,0.86983,0.82615,0.88586,0.51931,1.45143,0.90994,1.94007,0.00119551,0.00119551,0.00119551
68,6881.41,1.46349,1.03394,1.7505,0.88333,0.81538,0.8913,0.51406,1.43985,0.88061,1.94286,0.0011751,0.0011751,0.0011751
69,6973.85,1.47858,1.04905,1.76331,0.87051,0.82,0.88303,0.49308,1.47358,0.8715,1.94702,0.00115462,0.00115462,0.00115462
70,7067.38,1.47034,1.03798,1.73212,0.89051,0.80154,0.8757,0.50643,1.43723,0.94479,1.94763,0.00113408,0.00113408,0.00113408
71,7160.37,1.45514,1.03604,1.73135,0.87713,0.81692,0.88655,0.51733,1.43614,0.87172,1.88208,0.00111348,0.00111348,0.00111348
72,7254.98,1.45201,1.02968,1.73874,0.89001,0.78426,0.88104,0.52343,1.43795,0.91138,2.03067,0.00109284,0.00109284,0.00109284
73,7348.69,1.45131,1.01485,1.74535,0.895,0.80462,0.89703,0.52205,1.42741,0.86463,1.88136,0.00107216,0.00107216,0.00107216
74,7441.37,1.45874,1.03011,1.74545,0.83277,0.86154,0.89348,0.52792,1.39491,0.83529,1.94423,0.00105146,0.00105146,0.00105146
75,7533.74,1.44434,1.01328,1.72697,0.86712,0.85332,0.89548,0.51952,1.4162,0.82486,2.03024,0.00103073,0.00103073,0.00103073
76,7631.95,1.45356,1.0277,1.75899,0.88855,0.82181,0.8924,0.52278,1.40159,0.86272,1.96348,0.00101,0.00101,0.00101
77,7724.55,1.43111,1.01905,1.7247,0.85913,0.84154,0.88916,0.52737,1.40097,0.86042,1.8535,0.000989267,0.000989267,0.000989267
78,7816.44,1.42949,1.00197,1.72771,0.85976,0.86,0.90053,0.54365,1.363,0.81954,1.93705,0.000968543,0.000968543,0.000968543
79,7908.19,1.42746,1.00828,1.72164,0.91101,0.81896,0.90277,0.53189,1.40319,0.84502,2.03216,0.000947837,0.000947837,0.000947837
80,7998.51,1.41798,0.98579,1.70954,0.89801,0.79923,0.89013,0.53728,1.3931,0.85765,2.04684,0.000927159,0.000927159,0.000927159
81,8091.12,1.42827,1.00769,1.70906,0.87022,0.8459,0.90423,0.53904,1.38968,0.81649,2.02543,0.000906517,0.000906517,0.000906517
82,8186.51,1.42293,0.99534,1.72138,0.87015,0.84308,0.89667,0.53277,1.42601,0.81286,1.9567,0.00088592,0.00088592,0.00088592
83,8279.9,1.42294,1.00393,1.71854,0.87237,0.81385,0.88222,0.51177,1.46692,0.84575,1.93527,0.000865378,0.000865378,0.000865378
84,8374.69,1.40341,0.97586,1.68143,0.88055,0.81692,0.89442,0.53486,1.39147,0.82791,2.05069,0.000844899,0.000844899,0.000844899
85,8466.68,1.39286,0.9665,1.68527,0.86916,0.83801,0.90033,0.52525,1.45125,0.81707,1.99348,0.000824492,0.000824492,0.000824492
86,8559.16,1.41373,0.9878,1.70586,0.88433,0.83509,0.89759,0.52836,1.44019,0.82246,2.10206,0.000804167,0.000804167,0.000804167
